Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Mission Hills, KS",Mar-14,$588K,-46.50%,-9.90%,4,100.00%,0.00%,7,250.00%,-30.00%,,,,374,168,175,,,
"Mission Hills, KS",Apr-14,$697K,18.60%,-51.30%,5,25.00%,-16.70%,12,71.40%,0.00%,,,,397,23,234,,,
"Mission Hills, KS",May-14,$885K,27.00%,-16.50%,8,60.00%,-42.90%,4,-66.70%,-66.70%,,,,156,-241,4,,,
"Mission Hills, KS",Jun-14,$919K,3.80%,-23.40%,5,-37.50%,66.70%,3,-25.00%,-62.50%,,,,89,-67,28,,,
"Mission Hills, KS",Jul-14,"$1,770K",92.60%,73.40%,5,0.00%,0.00%,5,66.70%,0.00%,,,,86,-3,18,,,
"Mission Hills, KS",Aug-14,"$1,220K",-31.10%,54.00%,2,-60.00%,-75.00%,5,0.00%,-16.70%,,,,159,73,46,,,
"Mission Hills, KS",Sep-14,$842K,-31.00%,-2.10%,3,50.00%,-40.00%,8,60.00%,60.00%,,,,273,114,65,,,
"Mission Hills, KS",Oct-14,"$1,200K",42.60%,7.90%,5,66.70%,150.00%,7,-12.50%,75.00%,,,,109,-164,-51,,,
"Mission Hills, KS",Nov-14,$880K,-26.70%,6.90%,7,40.00%,-22.20%,5,-28.60%,25.00%,,,,105,-4,-22,,,
"Mission Hills, KS",Dec-14,$775K,-11.90%,-0.90%,3,-57.10%,-50.00%,2,-60.00%,-33.30%,,,,93,-12,-81,,,
"Mission Hills, KS",Jan-15,$990K,27.70%,59.70%,3,0.00%,-40.00%,5,150.00%,-28.60%,,,,484,391,312,,,
"Mission Hills, KS",Feb-15,$810K,-18.20%,-26.30%,3,0.00%,50.00%,4,-20.00%,100.00%,,,,271,-213,65,,,
"Mission Hills, KS",Mar-15,$775K,-4.30%,31.90%,7,133.30%,75.00%,6,50.00%,-14.30%,,,,138,-133,-236,,,
"Mission Hills, KS",Apr-15,$665K,-14.20%,-4.60%,1,-85.70%,-80.00%,9,50.00%,-25.00%,,,,150,12,-247,,,
"Mission Hills, KS",May-15,"$1,110K",66.90%,25.40%,4,300.00%,-50.00%,9,0.00%,125.00%,,,,93,-57,-63,,,
"Mission Hills, KS",Jun-15,$753K,-32.20%,-18.10%,10,150.00%,100.00%,6,-33.30%,100.00%,,,,94,1,5,,,
"Mission Hills, KS",Jul-15,$885K,17.60%,-50.00%,7,-30.00%,40.00%,6,0.00%,20.00%,,,,276,182,190,,,
"Mission Hills, KS",Aug-15,$750K,-15.30%,-38.50%,3,-57.10%,50.00%,8,33.30%,60.00%,,,,82,-194,-77,,,
